user_id,最近一次购买时间
100,2017-11-28
1000001,2017-12-03
1000011,2017-11-25
100002,2017-11-30
1000027,2017-12-03
1000028,2017-12-03
1000037,2017-12-01
1000054,2017-12-02
1000060,2017-12-01
1000061,2017-12-03
1000070,2017-11-28
1000084,2017-12-03
1000085,2017-12-01
100009,2017-12-02
1000103,2017-12-03
1000115,2017-12-03
1000134,2017-12-02
1000135,2017-11-28
1000139,2017-12-03
1000151,2017-12-03
1000154,2017-11-26
1000165,2017-12-02
1000169,2017-11-30
1000186,2017-11-30
1000191,2017-12-02
1000194,2017-11-29
1000204,2017-11-26
1000209,2017-11-28
1000222,2017-11-29
1000228,2017-11-30
1000236,2017-11-30
1000251,2017-11-28
1000263,2017-12-02
1000269,2017-12-03
1000274,2017-11-27
1000282,2017-11-27
1000283,2017-11-27
1000291,2017-11-30
1000296,2017-12-01
100030,2017-11-26
1000313,2017-12-03
1000317,2017-11-26
1000319,2017-12-03
1000328,2017-12-03
1000332,2017-12-03
1000335,2017-12-03
1000349,2017-12-02
1000364,2017-11-28
1000374,2017-11-25
1000398,2017-12-03
1000408,2017-11-27
1000417,2017-12-03
1000420,2017-11-28
1000429,2017-12-03
1000436,2017-12-03
1000438,2017-12-03
1000455,2017-11-28
1000485,2017-11-30
1000488,2017-12-03
1000490,2017-11-30
1000497,2017-11-30
1000504,2017-12-01
1000505,2017-12-01
1000511,2017-12-03
1000519,2017-11-27
1000520,2017-12-02
1000538,2017-12-03
1000539,2017-12-01
1000541,2017-12-02
1000565,2017-12-02
1000573,2017-11-29
1000581,2017-11-29
1000588,2017-12-01
100059,2017-11-27
1000590,2017-12-03
1000596,2017-11-29
1000610,2017-12-03
1000630,2017-11-29
1000636,2017-12-01
1000641,2017-11-30
1000647,2017-11-26
1000650,2017-11-29
1000659,2017-12-01
1000664,2017-11-30
1000676,2017-12-02
100068,2017-11-30
1000684,2017-12-03
1000686,2017-12-01
1000688,2017-12-02
1000694,2017-12-01
1000703,2017-11-29
1000712,2017-11-29
1000715,2017-12-01
1000718,2017-11-30
1000722,2017-11-29
1000723,2017-12-02
1000727,2017-12-03
1000732,2017-12-01
1000735,2017-12-02
1000738,2017-11-26
1000749,2017-12-03
100075,2017-11-30
1000751,2017-11-27
1000772,2017-12-03
1000792,2017-12-01
10008,2017-12-02
1000803,2017-11-26
1000807,2017-12-03
1000810,2017-12-02
1000811,2017-11-30
1000836,2017-12-03
1000840,2017-12-02
1000856,2017-11-30
1000857,2017-11-29
1000865,2017-12-01
1000866,2017-11-26
1000867,2017-11-30
1000872,2017-12-01
1000877,2017-11-30
1000878,2017-12-01
